rank,teams,team_id,league_id,league,season,played,wins,draws,losses,goals,goal con,goal diff,points,win_per,clean_sheets
1,Arsenal,42,39,Premier League,2022,19,12,3,4,35,18,17,39,63.16,10
2,Manchester City,50,39,Premier League,2022,19,11,4,4,34,16,18,37,57.89,6
3,Newcastle,34,39,Premier League,2022,19,8,8,3,32,19,13,32,42.11,5
4,Brighton,51,39,Premier League,2022,19,8,4,7,35,32,3,28,42.11,3
5,Manchester United,33,39,Premier League,2022,19,8,3,8,22,33,-11,27,42.11,6
6,Fulham,36,39,Premier League,2022,19,7,2,10,24,24,0,23,36.84,6
7,Liverpool,40,39,Premier League,2022,19,6,5,8,29,30,-1,23,31.58,5
8,Tottenham,47,39,Premier League,2022,19,6,5,8,33,38,-5,23,31.58,4
9,Aston Villa,66,39,Premier League,2022,19,6,5,8,18,25,-7,23,31.58,5
10,Brentford,55,39,Premier League,2022,19,5,7,7,23,28,-5,22,26.32,5
11,Chelsea,49,39,Premier League,2022,19,5,4,10,18,28,-10,19,26.32,4
12,Crystal Palace,52,39,Premier League,2022,19,4,5,10,19,26,-7,17,21.05,4
13,Bournemouth,35,39,Premier League,2022,19,5,2,12,17,43,-26,17,26.32,3
14,Everton,45,39,Premier League,2022,19,2,9,8,18,30,-12,15,10.53,2
15,Leicester,46,39,Premier League,2022,19,4,3,12,28,41,-13,15,21.05,4
16,Southampton,41,39,Premier League,2022,19,4,2,13,17,36,-19,14,21.05,3
17,West Ham,48,39,Premier League,2022,19,3,3,13,16,31,-15,12,15.79,3
18,Wolves,39,39,Premier League,2022,19,2,5,12,12,38,-26,11,10.53,1
19,Leeds,63,39,Premier League,2022,19,2,3,14,22,41,-19,9,10.53,1
20,Nottingham Forest,65,39,Premier League,2022,19,1,5,13,11,44,-33,8,5.26,2
