rank,teams,team_id,league_id,league,season,played,wins,draws,losses,goals,goal con,goal diff,points,win_per,clean_sheets
1,Manchester City,50,39,Premier League,2022,19,17,1,1,60,17,43,52,89.47,7
2,Manchester United,33,39,Premier League,2022,19,15,3,1,36,10,26,48,78.95,11
3,Arsenal,42,39,Premier League,2022,19,14,3,2,53,25,28,45,73.68,4
4,Liverpool,40,39,Premier League,2022,19,13,5,1,46,17,29,44,68.42,9
5,Newcastle,34,39,Premier League,2022,19,11,6,2,36,14,22,39,57.89,9
6,Aston Villa,66,39,Premier League,2022,19,12,2,5,33,21,12,38,63.16,7
7,Brentford,55,39,Premier League,2022,19,10,7,2,35,18,17,37,52.63,7
8,Tottenham,47,39,Premier League,2022,19,12,1,6,37,25,12,37,63.16,6
9,Brighton,51,39,Premier League,2022,19,10,4,5,37,21,16,34,52.63,9
10,Nottingham Forest,65,39,Premier League,2022,19,8,6,5,27,24,3,30,42.11,6
11,Wolves,39,39,Premier League,2022,19,9,3,7,19,20,-1,30,47.37,10
12,Fulham,36,39,Premier League,2022,19,8,5,6,31,29,2,29,42.11,3
13,West Ham,48,39,Premier League,2022,19,8,4,7,26,24,2,28,42.11,6
14,Crystal Palace,52,39,Premier League,2022,19,7,7,5,21,23,-2,28,36.84,5
15,Chelsea,49,39,Premier League,2022,19,6,7,6,20,19,1,25,31.58,6
16,Bournemouth,35,39,Premier League,2022,19,6,4,9,20,28,-8,22,31.58,5
17,Leeds,63,39,Premier League,2022,19,5,7,7,26,37,-11,22,26.32,4
18,Everton,45,39,Premier League,2022,19,6,3,10,16,27,-11,21,31.58,7
19,Leicester,46,39,Premier League,2022,19,5,4,10,23,27,-4,19,26.32,3
20,Southampton,41,39,Premier League,2022,19,2,5,12,19,37,-18,11,10.53,1
