rank,teams,team_id,league_id,league,season,played,wins,draws,losses,goals,goal con,goal diff,points,win_per,clean_sheets
1,Manchester City,50,39,Premier League,2022,38,28,5,5,94,33,61,89,73.68,13
2,Arsenal,42,39,Premier League,2022,38,26,6,6,88,43,45,84,68.42,14
3,Manchester United,33,39,Premier League,2022,38,23,6,9,58,43,15,75,60.53,17
4,Newcastle,34,39,Premier League,2022,38,19,14,5,68,33,35,71,50.0,14
5,Liverpool,40,39,Premier League,2022,38,19,10,9,75,47,28,67,50.0,14
6,Brighton,51,39,Premier League,2022,38,18,8,12,72,53,19,62,47.37,12
7,Aston Villa,66,39,Premier League,2022,38,18,7,13,51,46,5,61,47.37,12
8,Tottenham,47,39,Premier League,2022,38,18,6,14,70,63,7,60,47.37,10
9,Brentford,55,39,Premier League,2022,38,15,14,9,58,46,12,59,39.47,12
10,Fulham,36,39,Premier League,2022,38,15,7,16,55,53,2,52,39.47,9
11,Crystal Palace,52,39,Premier League,2022,38,11,12,15,40,49,-9,45,28.95,9
12,Chelsea,49,39,Premier League,2022,38,11,11,16,38,47,-9,44,28.95,10
13,Wolves,39,39,Premier League,2022,38,11,8,19,31,58,-27,41,28.95,11
14,West Ham,48,39,Premier League,2022,38,11,7,20,42,55,-13,40,28.95,9
15,Bournemouth,35,39,Premier League,2022,38,11,6,21,37,71,-34,39,28.95,8
16,Nottingham Forest,65,39,Premier League,2022,38,9,11,18,38,68,-30,38,23.68,8
17,Everton,45,39,Premier League,2022,38,8,12,18,34,57,-23,36,21.05,9
18,Leicester,46,39,Premier League,2022,38,9,7,22,51,68,-17,34,23.68,7
19,Leeds,63,39,Premier League,2022,38,7,10,21,48,78,-30,31,18.42,5
20,Southampton,41,39,Premier League,2022,38,6,7,25,36,73,-37,25,15.79,4
