teams,team_id,code,country,founded,logo,venue_id,season,league_id
Manchester United,33,MUN,England,1878,https://media.api-sports.io/football/teams/33.png,556,2024,39
Newcastle,34,NEW,England,1892,https://media.api-sports.io/football/teams/34.png,562,2024,39
Bournemouth,35,BOU,England,1899,https://media.api-sports.io/football/teams/35.png,504,2024,39
Fulham,36,FUL,England,1879,https://media.api-sports.io/football/teams/36.png,535,2024,39
Wolves,39,WOL,England,1877,https://media.api-sports.io/football/teams/39.png,600,2024,39
Liverpool,40,LIV,England,1892,https://media.api-sports.io/football/teams/40.png,550,2024,39
Southampton,41,SOU,England,1885,https://media.api-sports.io/football/teams/41.png,585,2024,39
Arsenal,42,ARS,England,1886,https://media.api-sports.io/football/teams/42.png,494,2024,39
Everton,45,EVE,England,1878,https://media.api-sports.io/football/teams/45.png,22033,2024,39
Leicester,46,LEI,England,1884,https://media.api-sports.io/football/teams/46.png,547,2024,39
Tottenham,47,TOT,England,1882,https://media.api-sports.io/football/teams/47.png,593,2024,39
West Ham,48,WES,England,1895,https://media.api-sports.io/football/teams/48.png,598,2024,39
Chelsea,49,CHE,England,1905,https://media.api-sports.io/football/teams/49.png,519,2024,39
Manchester City,50,MCI,England,1880,https://media.api-sports.io/football/teams/50.png,555,2024,39
Brighton,51,BRI,England,1901,https://media.api-sports.io/football/teams/51.png,508,2024,39
Crystal Palace,52,CRY,England,1861,https://media.api-sports.io/football/teams/52.png,525,2024,39
Brentford,55,BRE,England,1889,https://media.api-sports.io/football/teams/55.png,10503,2024,39
Ipswich,57,IPS,England,1878,https://media.api-sports.io/football/teams/57.png,545,2024,39
Nottingham Forest,65,NOT,England,1865,https://media.api-sports.io/football/teams/65.png,566,2024,39
Aston Villa,66,AST,England,1874,https://media.api-sports.io/football/teams/66.png,495,2024,39
